id,제목,저자,출판사,ISBN,도서관_id
1,경영학원론개정판,조성호,박영사,978-89-8836-590-3,1
2,일반화학개정판,송시우,법문사,978-89-2161-249-2,3
3,수치해석제3판,황재원,길벗,978-89-3698-352-6,3
4,동양철학개론제4판,장하은,한빛미디어,978-89-8075-143-5,2
5,알고리즘개론제4판,오준혁,박영사,978-89-4681-866-2,2
6,정보보안,신시우,위키북스,978-89-4954-713-8,2
7,머신러닝제3판,신다은,한빛미디어,978-89-7837-167-8,1
8,수치해석제3판,오태현,학지사,978-89-5601-575-5,2
9,컴퓨터비전,한민지,인사이트,978-89-8699-623-7,2
10,모바일앱개발,홍다은,민음사,978-89-3248-580-5,1
11,머신러닝제5판,송재원,민음사,978-89-2031-357-4,2
12,인사조직론,안은지,교문사,978-89-6311-345-9,1
13,서양철학사제5판,조하준,교문사,978-89-9481-792-6,2
14,마케팅관리론,신예은,에이콘,978-89-3281-921-4,1
15,동양철학개론,송동현,에이콘,978-89-8580-695-8,1
16,확률과통계제5판,윤성호,민음사,978-89-6527-287-7,2
17,경영학원론개정판,황건우,인사이트,978-89-8521-650-5,1
18,마케팅관리론,박태현,길벗,978-89-7169-932-8,2
19,데이터구조론제3판,조서윤,인사이트,978-89-9110-565-8,3
20,재무관리,류하은,에이콘,978-89-5353-152-6,3
21,머신러닝,최유진,학지사,978-89-7338-420-1,1
22,일반화학제3판,오도윤,한빛미디어,978-89-1672-967-1,2
23,미적분학,송태현,위키북스,978-89-2571-860-6,1
24,운영체제,이민수,길벗,978-89-6531-739-4,2
25,정치학개론제4판,윤은지,민음사,978-89-5370-665-5,1
26,수치해석제3판,송우진,교문사,978-89-4602-275-6,1
27,컴퓨터비전,김미영,길벗,978-89-5419-928-7,1
28,미적분학제4판,신은지,에이콘,978-89-8528-724-2,1
29,환경과학제5판,최민수,에이콘,978-89-6054-545-9,3
30,한국사개설개정판,조은지,길벗,978-89-2343-518-7,2
31,수치해석개정판,홍도윤,학지사,978-89-1377-654-4,1
32,머신러닝개정판,안동현,교문사,978-89-1339-611-8,3
33,한국사개설개정판,홍성호,교문사,978-89-3367-820-1,3
34,한국사개설제4판,서성호,에이콘,978-89-6148-461-6,2
35,경영학원론제5판,윤준혁,민음사,978-89-8695-124-9,1
36,데이터베이스시스템개정판,김준혁,민음사,978-89-6655-468-6,1
